customer_id,age,gender,location_id,signup_date,customer_segment
CUST_0001,46,M,LOC_09,2023-10-04,Budget
CUST_0002,53,M,LOC_09,2023-07-11,Regular
CUST_0003,52,M,LOC_02,2023-04-06,Regular
CUST_0004,49,F,LOC_01,2024-11-25,Occasional
CUST_0005,42,M,LOC_01,2023-03-03,Regular
CUST_0006,42,M,LOC_03,2023-06-26,VIP
CUST_0007,58,F,LOC_09,2024-03-30,Budget
CUST_0008,48,F,LOC_03,2024-05-20,Occasional
CUST_0009,70,M,LOC_09,2024-04-13,Occasional
CUST_0010,40,F,LOC_07,2023-04-19,Budget
CUST_0011,56,Other,LOC_10,2023-05-13,Occasional
CUST_0012,46,M,LOC_02,2024-08-10,Occasional
CUST_0013,61,F,LOC_06,2024-06-02,Regular
CUST_0014,57,M,LOC_02,2024-09-25,VIP
CUST_0015,46,M,LOC_03,2024-10-09,Regular
CUST_0016,18,F,LOC_01,2024-05-25,Budget
CUST_0017,62,F,LOC_06,2023-09-09,VIP
CUST_0018,61,F,LOC_10,2024-06-14,VIP
CUST_0019,20,M,LOC_02,2023-08-08,Regular
CUST_0020,37,M,LOC_09,2023-01-01,Occasional
CUST_0021,45,Other,LOC_01,2024-02-13,Budget
CUST_0022,55,M,LOC_10,2024-07-09,Budget
CUST_0023,62,M,LOC_05,2023-03-21,Regular
CUST_0024,28,F,LOC_04,2023-08-15,Occasional
CUST_0025,35,M,LOC_01,2024-06-09,Regular
CUST_0026,18,F,LOC_06,2023-09-16,Budget
CUST_0027,28,M,LOC_08,2023-12-24,Regular
CUST_0028,45,M,LOC_10,2023-12-14,Occasional
CUST_0029,25,M,LOC_02,2024-06-23,VIP
CUST_0030,58,M,LOC_06,2023-05-25,Regular
CUST_0031,70,F,LOC_03,2023-09-10,Budget
CUST_0032,68,F,LOC_09,2024-03-25,VIP
CUST_0033,47,F,LOC_05,2023-04-29,Regular
CUST_0034,71,F,LOC_01,2023-10-09,Regular
CUST_0035,39,F,LOC_01,2024-04-05,VIP
CUST_0036,58,M,LOC_01,2024-02-09,VIP
CUST_0037,23,F,LOC_05,2024-10-06,Budget
CUST_0038,70,F,LOC_05,2024-11-07,Occasional
CUST_0039,36,M,LOC_09,2023-01-01,Budget
CUST_0040,30,M,LOC_01,2024-05-02,Occasional
CUST_0041,45,M,LOC_07,2023-06-03,Regular
CUST_0042,71,F,LOC_02,2023-09-25,Occasional
CUST_0043,61,F,LOC_09,2024-02-05,VIP
CUST_0044,64,M,LOC_05,2024-07-31,Occasional
CUST_0045,56,M,LOC_02,2023-11-02,Regular
CUST_0046,47,F,LOC_03,2024-03-22,Occasional
CUST_0047,55,M,LOC_07,2023-04-16,Budget
CUST_0048,22,F,LOC_10,2023-07-03,Occasional
CUST_0049,34,M,LOC_08,2023-03-10,Budget
CUST_0050,70,M,LOC_03,2023-04-21,VIP
CUST_0051,33,M,LOC_06,2024-06-03,Regular
CUST_0052,21,M,LOC_03,2023-07-14,Regular
CUST_0053,49,M,LOC_10,2023-02-20,VIP
CUST_0054,22,M,LOC_10,2024-06-17,VIP
CUST_0055,18,F,LOC_10,2023-02-15,Regular
CUST_0056,31,M,LOC_09,2023-09-06,Regular
CUST_0057,39,M,LOC_01,2023-01-26,Budget
CUST_0058,25,F,LOC_04,2023-10-30,Regular
CUST_0059,39,M,LOC_07,2023-03-19,Regular
CUST_0060,62,M,LOC_08,2023-01-07,Occasional
CUST_0061,40,F,LOC_02,2024-05-20,Regular
CUST_0062,68,M,LOC_09,2024-09-22,Regular
CUST_0063,27,F,LOC_01,2023-08-19,VIP
CUST_0064,61,M,LOC_04,2023-01-25,Occasional
CUST_0065,20,F,LOC_02,2023-04-21,Regular
CUST_0066,39,F,LOC_08,2024-01-04,Regular
CUST_0067,59,M,LOC_06,2024-11-22,Occasional
CUST_0068,51,M,LOC_06,2024-01-12,Regular
