product_id,store_id,date,stock_level,reorder_point,stockout_risk
PRD_0001,STR_001,2025-01-01,203,33,0
PRD_0002,STR_001,2025-01-01,241,23,0
PRD_0003,STR_001,2025-01-01,174,28,0
PRD_0004,STR_001,2025-01-01,105,33,0
PRD_0005,STR_001,2025-01-01,154,43,0
PRD_0006,STR_001,2025-01-01,204,28,0
PRD_0007,STR_001,2025-01-01,210,34,0
PRD_0008,STR_001,2025-01-01,219,48,0
PRD_0009,STR_001,2025-01-01,150,27,0
PRD_0010,STR_001,2025-01-01,228,23,0
PRD_0011,STR_001,2025-01-01,15,20,1
PRD_0012,STR_001,2025-01-01,145,32,0
PRD_0013,STR_001,2025-01-01,226,32,0
PRD_0014,STR_001,2025-01-01,205,29,0
PRD_0015,STR_001,2025-01-01,7,24,1
PRD_0016,STR_001,2025-01-01,29,32,1
PRD_0017,STR_001,2025-01-01,234,28,0
PRD_0018,STR_001,2025-01-01,9,46,1
PRD_0019,STR_001,2025-01-01,242,37,0
PRD_0020,STR_001,2025-01-01,139,36,0
PRD_0021,STR_001,2025-01-01,135,47,0
PRD_0022,STR_001,2025-01-01,107,23,0
PRD_0023,STR_001,2025-01-01,42,20,0
PRD_0024,STR_001,2025-01-01,98,43,0
PRD_0025,STR_001,2025-01-01,114,37,0
PRD_0026,STR_001,2025-01-01,71,41,0
PRD_0027,STR_001,2025-01-01,123,34,0
PRD_0028,STR_001,2025-01-01,229,26,0
PRD_0029,STR_001,2025-01-01,71,41,0
PRD_0030,STR_001,2025-01-01,78,22,0
PRD_0031,STR_001,2025-01-01,19,25,1
PRD_0032,STR_001,2025-01-01,170,32,0
PRD_0033,STR_001,2025-01-01,27,48,1
PRD_0034,STR_001,2025-01-01,14,42,1
PRD_0035,STR_001,2025-01-01,6,32,1
PRD_0036,STR_001,2025-01-01,50,25,0
PRD_0037,STR_001,2025-01-01,100,39,0
PRD_0038,STR_001,2025-01-01,149,32,0
PRD_0039,STR_001,2025-01-01,226,45,0
PRD_0040,STR_001,2025-01-01,64,47,0
PRD_0001,STR_002,2025-01-01,83,29,0
PRD_0002,STR_002,2025-01-01,242,36,0
PRD_0003,STR_002,2025-01-01,153,31,0
PRD_0004,STR_002,2025-01-01,59,31,0
PRD_0005,STR_002,2025-01-01,5,38,1
PRD_0006,STR_002,2025-01-01,205,38,0
PRD_0007,STR_002,2025-01-01,70,38,0
PRD_0008,STR_002,2025-01-01,57,32,0
PRD_0009,STR_002,2025-01-01,194,33,0
PRD_0010,STR_002,2025-01-01,170,32,0
PRD_0011,STR_002,2025-01-01,90,38,0
PRD_0012,STR_002,2025-01-01,138,23,0
PRD_0013,STR_002,2025-01-01,186,20,0
PRD_0014,STR_002,2025-01-01,76,39,0
PRD_0015,STR_002,2025-01-01,149,27,0
PRD_0016,STR_002,2025-01-01,87,38,0
PRD_0017,STR_002,2025-01-01,149,21,0
PRD_0018,STR_002,2025-01-01,149,49,0
PRD_0019,STR_002,2025-01-01,116,24,0
PRD_0020,STR_002,2025-01-01,107,23,0
PRD_0021,STR_002,2025-01-01,73,32,0
PRD_0022,STR_002,2025-01-01,180,46,0
PRD_0023,STR_002,2025-01-01,134,48,0
PRD_0024,STR_002,2025-01-01,138,46,0
PRD_0025,STR_002,2025-01-01,50,22,0
PRD_0026,STR_002,2025-01-01,114,42,0
PRD_0027,STR_002,2025-01-01,206,38,0
PRD_0028,STR_002,2025-01-01,13,27,1
PRD_0029,STR_002,2025-01-01,185,33,0
PRD_0030,STR_002,2025-01-01,50,46,0
PRD_0031,STR_002,2025-01-01,143,38,0
PRD_0032,STR_002,2025-01-01,238,49,0
PRD_0033,STR_002,2025-01-01,224,43,0
PRD_0034,STR_002,2025-01-01,83,25,0
PRD_0035,STR_002,2025-01-01,231,34,0
PRD_0036,STR_002,2025-01-01,175,35,0
PRD_0037,STR_002,2025-01-01,6,32,1
PRD_0038,STR_002,2025-01-01,106,43,0
PRD_0039,STR_002,2025-01-01,106,35,0
PRD_0040,STR_002,2025-01-01,137,41,0
PRD_0001,STR_003,2025-01-01,37,39,1
PRD_0002,STR_003,2025-01-01,200,24,0
PRD_0003,STR_003,2025-01-01,16,21,1
PRD_0004,STR_003,2025-01-01,126,34,0
PRD_0005,STR_003,2025-01-01,93,33,0
PRD_0006,STR_003,2025-01-01,28,28,1
PRD_0007,STR_003,2025-01-01,209,39,0
PRD_0008,STR_003,2025-01-01,186,45,0
PRD_0009,STR_003,2025-01-01,225,36,0
PRD_0010,STR_003,2025-01-01,220,48,0
PRD_0011,STR_003,2025-01-01,156,22,0
PRD_0012,STR_003,2025-01-01,119,22,0
PRD_0013,STR_003,2025-01-01,123,35,0
PRD_0014,STR_003,2025-01-01,137,20,0
PRD_0015,STR_003,2025-01-01,84,25,0
PRD_0016,STR_003,2025-01-01,17,36,1
PRD_0017,STR_003,2025-01-01,36,22,0
PRD_0018,STR_003,2025-01-01,154,20,0
PRD_0019,STR_003,2025-01-01,65,25,0
PRD_0020,STR_003,2025-01-01,234,26,0
PRD_0021,STR_003,2025-01-01,26,27,1
PRD_0022,STR_003,2025-01-01,235,32,0
PRD_0023,STR_003,2025-01-01,192,24,0
PRD_0024,STR_003,2025-01-01,92,41,0
PRD_0025,STR_003,2025-01-01,131,28,0
PRD_0026,STR_003,2025-01-01,136,46,0
PRD_0027,STR_003,2025-01-01,216,25,0
PRD_0028,STR_003,2025-01-01,15,27,1
PRD_0029,STR_003,2025-01-01,176,43,0
PRD_0030,STR_003,2025-01-01,7,42,1
PRD_0031,STR_003,2025-01-01,209,26,0
PRD_0032,STR_003,2025-01-01,213,23,0
PRD_0033,STR_003,2025-01-01,174,32,0
PRD_0034,STR_003,2025-01-01,216,21,0
PRD_0035,STR_003,2025-01-01,245,47,0
PRD_0036,STR_003,2025-01-01,114,29,0
PRD_0037,STR_003,2025-01-01,19,42,1
PRD_0038,STR_003,2025-01-01,50,21,0
PRD_0039,STR_003,2025-01-01,226,37,0
PRD_0040,STR_003,2025-01-01,243,29,0
PRD_0001,STR_004,2025-01-01,101,36,0
PRD_0002,STR_004,2025-01-01,6,36,1
PRD_0003,STR_004,2025-01-01,46,30,0
PRD_0004,STR_004,2025-01-01,51,32,0
PRD_0005,STR_004,2025-01-01,159,46,0
PRD_0006,STR_004,2025-01-01,177,26,0
PRD_0007,STR_004,2025-01-01,136,44,0
PRD_0008,STR_004,2025-01-01,53,49,0
PRD_0009,STR_004,2025-01-01,155,48,0
PRD_0010,STR_004,2025-01-01,185,33,0
PRD_0011,STR_004,2025-01-01,33,47,1
PRD_0012,STR_004,2025-01-01,239,39,0
PRD_0013,STR_004,2025-01-01,133,44,0
PRD_0014,STR_004,2025-01-01,170,43,0
PRD_0015,STR_004,2025-01-01,32,43,1
PRD_0016,STR_004,2025-01-01,107,35,0
PRD_0017,STR_004,2025-01-01,37,21,0
PRD_0018,STR_004,2025-01-01,229,23,0
PRD_0019,STR_004,2025-01-01,99,33,0
PRD_0020,STR_004,2025-01-01,206,35,0
PRD_0021,STR_004,2025-01-01,80,30,0
PRD_0022,STR_004,2025-01-01,123,29,0
PRD_0023,STR_004,2025-01-01,243,20,0
PRD_0024,STR_004,2025-01-01,11,35,1
PRD_0025,STR_004,2025-01-01,92,25,0
PRD_0026,STR_004,2025-01-01,8,43,1
PRD_0027,STR_004,2025-01-01,186,20,0
PRD_0028,STR_004,2025-01-01,207,30,0
PRD_0029,STR_004,2025-01-01,127,22,0
PRD_0030,STR_004,2025-01-01,31,44,1
PRD_0031,STR_004,2025-01-01,128,35,0
PRD_0032,STR_004,2025-01-01,194,26,0
PRD_0033,STR_004,2025-01-01,199,43,0
PRD_0034,STR_004,2025-01-01,15,37,1
PRD_0035,STR_004,2025-01-01,80,46,0
PRD_0036,STR_004,2025-01-01,172,48,0
PRD_0037,STR_004,2025-01-01,6,49,1
PRD_0038,STR_004,2025-01-01,161,20,0
PRD_0039,STR_004,2025-01-01,184,42,0
PRD_0040,STR_004,2025-01-01,200,20,0
PRD_0001,STR_005,2025-01-01,23,30,1
PRD_0002,STR_005,2025-01-01,130,43,0
PRD_0003,STR_005,2025-01-01,72,38,0
PRD_0004,STR_005,2025-01-01,176,21,0
PRD_0005,STR_005,2025-01-01,37,30,0
PRD_0006,STR_005,2025-01-01,49,38,0
PRD_0007,STR_005,2025-01-01,210,39,0
PRD_0008,STR_005,2025-01-01,40,49,1
PRD_0009,STR_005,2025-01-01,81,41,0
PRD_0010,STR_005,2025-01-01,170,43,0
PRD_0011,STR_005,2025-01-01,50,25,0
PRD_0012,STR_005,2025-01-01,204,23,0
PRD_0013,STR_005,2025-01-01,203,40,0
PRD_0014,STR_005,2025-01-01,111,35,0
PRD_0015,STR_005,2025-01-01,110,49,0
PRD_0016,STR_005,2025-01-01,25,31,1
PRD_0017,STR_005,2025-01-01,73,39,0
PRD_0018,STR_005,2025-01-01,77,34,0
PRD_0019,STR_005,2025-01-01,132,27,0
PRD_0020,STR_005,2025-01-01,68,49,0
PRD_0021,STR_005,2025-01-01,146,33,0
PRD_0022,STR_005,2025-01-01,43,26,0
PRD_0023,STR_005,2025-01-01,176,49,0
PRD_0024,STR_005,2025-01-01,171,25,0
PRD_0025,STR_005,2025-01-01,212,25,0
PRD_0026,STR_005,2025-01-01,209,32,0
PRD_0027,STR_005,2025-01-01,8,38,1
PRD_0028,STR_005,2025-01-01,94,44,0
PRD_0029,STR_005,2025-01-01,126,38,0
PRD_0030,STR_005,2025-01-01,209,49,0
PRD_0031,STR_005,2025-01-01,211,21,0
PRD_0032,STR_005,2025-01-01,27,27,1
PRD_0033,STR_005,2025-01-01,20,30,1
PRD_0034,STR_005,2025-01-01,217,41,0
PRD_0035,STR_005,2025-01-01,199,44,0
PRD_0036,STR_005,2025-01-01,171,45,0
PRD_0037,STR_005,2025-01-01,29,46,1
PRD_0038,STR_005,2025-01-01,208,33,0
PRD_0039,STR_005,2025-01-01,82,48,0
PRD_0040,STR_005,2025-01-01,93,48,0
PRD_0001,STR_006,2025-01-01,192,44,0
PRD_0002,STR_006,2025-01-01,196,49,0
PRD_0003,STR_006,2025-01-01,17,30,1
PRD_0004,STR_006,2025-01-01,137,32,0
PRD_0005,STR_006,2025-01-01,113,40,0
PRD_0006,STR_006,2025-01-01,171,29,0
PRD_0007,STR_006,2025-01-01,151,26,0
PRD_0008,STR_006,2025-01-01,225,37,0
PRD_0009,STR_006,2025-01-01,10,44,1
PRD_0010,STR_006,2025-01-01,41,31,0
PRD_0011,STR_006,2025-01-01,117,27,0
PRD_0012,STR_006,2025-01-01,175,46,0
PRD_0013,STR_006,2025-01-01,223,38,0
PRD_0014,STR_006,2025-01-01,50,24,0
PRD_0015,STR_006,2025-01-01,233,25,0
PRD_0016,STR_006,2025-01-01,21,38,1
PRD_0017,STR_006,2025-01-01,83,38,0
PRD_0018,STR_006,2025-01-01,18,37,1
PRD_0019,STR_006,2025-01-01,165,38,0
PRD_0020,STR_006,2025-01-01,127,33,0
PRD_0021,STR_006,2025-01-01,152,42,0
PRD_0022,STR_006,2025-01-01,245,47,0
PRD_0023,STR_006,2025-01-01,59,41,0
PRD_0024,STR_006,2025-01-01,195,49,0
PRD_0025,STR_006,2025-01-01,231,24,0
PRD_0026,STR_006,2025-01-01,122,42,0
PRD_0027,STR_006,2025-01-01,74,47,0
PRD_0028,STR_006,2025-01-01,47,30,0
PRD_0029,STR_006,2025-01-01,233,35,0
PRD_0030,STR_006,2025-01-01,118,48,0
PRD_0031,STR_006,2025-01-01,112,40,0
PRD_0032,STR_006,2025-01-01,197,20,0
PRD_0033,STR_006,2025-01-01,226,49,0
PRD_0034,STR_006,2025-01-01,36,36,1
PRD_0035,STR_006,2025-01-01,184,30,0
PRD_0036,STR_006,2025-01-01,8,38,1
PRD_0037,STR_006,2025-01-01,25,29,1
PRD_0038,STR_006,2025-01-01,242,39,0
PRD_0039,STR_006,2025-01-01,206,38,0
PRD_0040,STR_006,2025-01-01,92,32,0
PRD_0001,STR_007,2025-01-01,149,36,0
PRD_0002,STR_007,2025-01-01,129,22,0
PRD_0003,STR_007,2025-01-01,50,34,0
PRD_0004,STR_007,2025-01-01,65,27,0
PRD_0005,STR_007,2025-01-01,138,25,0
PRD_0006,STR_007,2025-01-01,173,23,0
PRD_0007,STR_007,2025-01-01,228,45,0
PRD_0008,STR_007,2025-01-01,139,42,0
PRD_0009,STR_007,2025-01-01,177,37,0
PRD_0010,STR_007,2025-01-01,180,39,0
PRD_0011,STR_007,2025-01-01,68,38,0
PRD_0012,STR_007,2025-01-01,63,21,0
PRD_0013,STR_007,2025-01-01,54,44,0
PRD_0014,STR_007,2025-01-01,136,41,0
PRD_0015,STR_007,2025-01-01,69,31,0
PRD_0016,STR_007,2025-01-01,192,25,0
PRD_0017,STR_007,2025-01-01,223,45,0
PRD_0018,STR_007,2025-01-01,239,33,0
PRD_0019,STR_007,2025-01-01,141,41,0
PRD_0020,STR_007,2025-01-01,205,33,0
PRD_0021,STR_007,2025-01-01,219,27,0
PRD_0022,STR_007,2025-01-01,218,27,0
PRD_0023,STR_007,2025-01-01,229,29,0
PRD_0024,STR_007,2025-01-01,62,46,0
PRD_0025,STR_007,2025-01-01,28,37,1
PRD_0026,STR_007,2025-01-01,140,42,0
PRD_0027,STR_007,2025-01-01,45,48,1
PRD_0028,STR_007,2025-01-01,47,21,0
PRD_0029,STR_007,2025-01-01,199,49,0
PRD_0030,STR_007,2025-01-01,179,32,0
PRD_0031,STR_007,2025-01-01,163,49,0
PRD_0032,STR_007,2025-01-01,37,41,1
PRD_0033,STR_007,2025-01-01,229,44,0
PRD_0034,STR_007,2025-01-01,193,29,0
PRD_0035,STR_007,2025-01-01,103,37,0
PRD_0036,STR_007,2025-01-01,159,39,0
PRD_0037,STR_007,2025-01-01,35,47,1
PRD_0038,STR_007,2025-01-01,107,27,0
PRD_0039,STR_007,2025-01-01,94,39,0
PRD_0040,STR_007,2025-01-01,245,33,0
PRD_0001,STR_008,2025-01-01,141,32,0
PRD_0002,STR_008,2025-01-01,189,40,0
PRD_0003,STR_008,2025-01-01,10,41,1
PRD_0004,STR_008,2025-01-01,207,26,0
PRD_0005,STR_008,2025-01-01,143,44,0
PRD_0006,STR_008,2025-01-01,6,42,1
PRD_0007,STR_008,2025-01-01,81,39,0
PRD_0008,STR_008,2025-01-01,19,37,1
PRD_0009,STR_008,2025-01-01,81,30,0
PRD_0010,STR_008,2025-01-01,50,25,0
PRD_0011,STR_008,2025-01-01,135,28,0
PRD_0012,STR_008,2025-01-01,93,47,0
PRD_0013,STR_008,2025-01-01,247,34,0
PRD_0014,STR_008,2025-01-01,44,45,1
PRD_0015,STR_008,2025-01-01,184,27,0
