product_id,product_name,category,subcategory,brand,supplier_id,unit_cost,unit_price
PRD_0001,Brand_B Smartphones Model 1,Electronics,Smartphones,Brand_B,SUP_001,289.11,524.05
PRD_0002,Brand_C Smartphones Model 2,Electronics,Smartphones,Brand_C,SUP_021,225.36,470.35
PRD_0003,Brand_D Smartphones Model 3,Electronics,Smartphones,Brand_D,SUP_023,305.74,576.46
PRD_0004,Brand_E Smartphones Model 4,Electronics,Smartphones,Brand_E,SUP_027,116.55,224.11
PRD_0005,Brand_F Laptops Model 5,Electronics,Laptops,Brand_F,SUP_005,288.21,510.18
PRD_0006,Brand_G Laptops Model 6,Electronics,Laptops,Brand_G,SUP_011,369.23,708.37
PRD_0007,Brand_H Laptops Model 7,Electronics,Laptops,Brand_H,SUP_009,151.14,206.74
PRD_0008,Brand_I Laptops Model 8,Electronics,Laptops,Brand_I,SUP_029,387.68,578.95
PRD_0009,Brand_J Audio Model 9,Electronics,Audio,Brand_J,SUP_004,17.3,28.73
PRD_0010,Brand_K Audio Model 10,Electronics,Audio,Brand_K,SUP_019,163.41,210.24
PRD_0011,Brand_L Audio Model 11,Electronics,Audio,Brand_L,SUP_009,314.01,486.11
PRD_0012,Brand_M Audio Model 12,Electronics,Audio,Brand_M,SUP_018,378.59,684.54
PRD_0013,Brand_N Accessories Model 13,Electronics,Accessories,Brand_N,SUP_025,59.93,121.79
PRD_0014,Brand_O Accessories Model 14,Electronics,Accessories,Brand_O,SUP_030,316.15,444.41
PRD_0015,Brand_P Accessories Model 15,Electronics,Accessories,Brand_P,SUP_016,369.58,628.17
PRD_0016,Brand_Q Accessories Model 16,Electronics,Accessories,Brand_Q,SUP_028,124.76,261.58
PRD_0017,Brand_R Wearables Model 17,Electronics,Wearables,Brand_R,SUP_030,404.77,813.74
PRD_0018,Brand_S Wearables Model 18,Electronics,Wearables,Brand_S,SUP_027,93.03,134.99
PRD_0019,Brand_T Wearables Model 19,Electronics,Wearables,Brand_T,SUP_019,329.42,661.28
PRD_0020,Brand_U Wearables Model 20,Electronics,Wearables,Brand_U,SUP_024,187.98,375.77
PRD_0021,Brand_V Men's Wear Model 21,Apparel,Men's Wear,Brand_V,SUP_020,47.02,63.26
PRD_0022,Brand_W Men's Wear Model 22,Apparel,Men's Wear,Brand_W,SUP_006,304.35,524.28
PRD_0023,Brand_X Men's Wear Model 23,Apparel,Men's Wear,Brand_X,SUP_016,54.65,98.21
PRD_0024,Brand_Y Men's Wear Model 24,Apparel,Men's Wear,Brand_Y,SUP_029,134.93,199.0
PRD_0025,Brand_Z Women's Wear Model 25,Apparel,Women's Wear,Brand_Z,SUP_002,314.43,561.81
PRD_0026,Brand_A Women's Wear Model 26,Apparel,Women's Wear,Brand_A,SUP_009,87.41,106.31
PRD_0027,Brand_B Women's Wear Model 27,Apparel,Women's Wear,Brand_B,SUP_014,153.18,286.73
PRD_0028,Brand_C Women's Wear Model 28,Apparel,Women's Wear,Brand_C,SUP_008,383.66,687.46
PRD_0029,Brand_D Footwear Model 29,Apparel,Footwear,Brand_D,SUP_001,248.72,412.36
PRD_0030,Brand_E Footwear Model 30,Apparel,Footwear,Brand_E,SUP_022,126.69,179.85
PRD_0031,Brand_F Footwear Model 31,Apparel,Footwear,Brand_F,SUP_006,440.71,721.91
PRD_0032,Brand_G Footwear Model 32,Apparel,Footwear,Brand_G,SUP_008,287.7,551.04
PRD_0033,Brand_H Activewear Model 33,Apparel,Activewear,Brand_H,SUP_030,293.85,529.53
PRD_0034,Brand_I Activewear Model 34,Apparel,Activewear,Brand_I,SUP_001,95.91,177.45
