store_id,location_id,store_type
STR_001,LOC_05,Express
STR_002,LOC_04,Express
STR_003,LOC_10,Flagship
STR_004,LOC_09,Superstore
STR_005,LOC_01,Superstore
STR_006,LOC_09,Express
STR_007,LOC_09,Superstore
STR_008,LOC_06,Superstore
STR_009,LOC_09,Superstore
STR_010,LOC_01,Flagship
STR_011,LOC_08,Outlet
STR_012,LOC_06,Superstore
STR_013,LOC_08,Express
STR_014,LOC_01,Flagship
STR_015,LOC_10,Outlet
STR_016,LOC_07,Superstore
STR_017,LOC_01,Flagship
STR_018,LOC_08,Flagship
STR_019,LOC_01,Outlet
STR_020,LOC_06,Flagship
